""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"cCluster_1158"	939.842965414143	1.99875087132305	0.315619061165853	6.33279518651357	2.4075906999239e-10	4.71625225370009e-10
"cCluster_2767"	241.179007303829	3.93987730464752	0.622155119119769	6.3326286059041	2.41019239633109e-10	4.72088577335885e-10
"cCluster_26523"	2426.3865799604	3.26814914078387	0.516141116672358	6.331890708212	2.42175012300635e-10	4.74305899667143e-10
"cCluster_36117"	553.496864074318	1.17946536568148	0.186274812825304	6.33185639964986	2.42228881457373e-10	4.74364892854023e-10
"cCluster_21190"	257.609883271033	11.376512981264	1.79709474394103	6.33050261797288	2.44363872392802e-10	4.78499005102071e-10
"cCluster_7537"	299.871304118778	1.93410304652024	0.305527100821384	6.33038130274063	2.44556088286122e-10	4.7882845162863e-10
"cCluster_11219"	625.950570002889	3.55295294391105	0.561265873828313	6.33024936947774	2.44765295370529e-10	4.79191098208989e-10
"cCluster_5524"	7457.45696972991	-0.804515782298142	0.127096343122072	-6.32996797968791	2.45212080398757e-10	4.80018748134571e-10
"cCluster_574"	264.619159352667	2.07500221959595	0.327863074438712	6.3288683031728	2.46965776305002e-10	4.83404349014446e-10
"cCluster_11529"	403.541319429842	1.61814863050904	0.255684366258474	6.32869601762522	2.47241634232108e-10	4.83896888476029e-10
"cCluster_34234"	93.9874023972664	9.92180601382799	1.56791675403156	6.32801836469713	2.48329592547253e-10	4.85978604010128e-10
"cCluster_29281"	686.941587439054	1.0899037773964	0.172248192629574	6.32751938210626	2.49133686917989e-10	4.87504447118616e-10
"cCluster_6921"	424.218987496197	2.39893368572818	0.379155594004161	6.32704283851831	2.49903995294264e-10	4.88963885395526e-10
"cCluster_43474"	3673.84345685285	-0.980142520224229	0.154925158097981	-6.32655491372386	2.50695110929895e-10	4.90463745428468e-10
"cCluster_42133"	3715.98629145109	-0.619897523212563	0.0979840202049442	-6.32651652704166	2.50757454338955e-10	4.90537670200825e-10
"cCluster_14056"	5551.92699056609	-0.894627290957622	0.141434891393757	-6.32536485263009	2.52634934857655e-10	4.94162046982144e-10
"cCluster_43019"	8568.90290003574	0.666698943385938	0.105411282368172	6.32473989887861	2.53659485082694e-10	4.96117518312622e-10
"cCluster_31123"	3297.73867957894	0.610581667780801	0.0965455997105263	6.32428271833739	2.54411556694477e-10	4.97539734185645e-10
"cCluster_18594"	3584.10723542906	-0.547032685920298	0.0865140602382202	-6.32304950679716	2.56451092382876e-10	5.01479253093288e-10
"cCluster_7153"	131.277736176921	2.99622085054933	0.473934719312676	6.32201172113873	2.58179790893958e-10	5.04810231314293e-10
"cCluster_8185"	2089.42733818465	0.656943801838817	0.103929658202295	6.32104264751935	2.59804304322493e-10	5.07936867851795e-10
"cCluster_9154"	655.71705268619	1.13429844400316	0.179463897511158	6.32048261368356	2.60747668199677e-10	5.09731324357854e-10
"cCluster_35717"	2840.25154645344	10.6502911893537	1.68520874667444	6.31986465200277	2.61792492670392e-10	5.11723753898726e-10
"cCluster_17691"	598.050615631867	6.33007244649611	1.00173779194296	6.31909118075538	2.6310600945068e-10	5.14240952913633e-10
"cCluster_5535"	2751.72616307034	0.534066784285497	0.0845166472793928	6.31907205831288	2.63138564773182e-10	5.14254263902193e-10
"cCluster_5004"	2430.94222264719	0.97340332047563	0.154126840033625	6.31559902391607	2.69116998094887e-10	5.25886522886457e-10
"cCluster_40224"	5026.44526650419	-0.839917281941173	0.133012957151814	-6.31455235584706	2.70944587120079e-10	5.2940605768596e-10
"cCluster_23905"	367.864147744427	2.0662658397704	0.327328020887485	6.31252354799364	2.74521674077243e-10	5.36342961628808e-10
"cCluster_42437"	32358.1439942087	-1.11485930563853	0.176640616260856	-6.311455027943	2.7642413164515e-10	5.40007044460819e-10
"cCluster_38968"	983.719938769344	1.01032306997577	0.160094926693181	6.31077505605179	2.77641492007878e-10	5.42332173172047e-10
"cCluster_3282"	1611.94006119836	0.719414648503806	0.113999455682961	6.3106849431329	2.77803214438068e-10	5.42595014021747e-10
"cCluster_1272"	1461.81077948533	0.952901875681283	0.15101767917195	6.30986968483536	2.79270516501053e-10	5.45407564246043e-10
"cCluster_34021"	829.490455401963	3.26449065811906	0.517578394772999	6.30723904066903	2.84056948956907e-10	5.54701100343555e-10
"cCluster_36836"	128.269682104839	6.62642994518738	1.05067149670828	6.30685229964626	2.84767341333481e-10	5.56004225471474e-10
"cCluster_5558"	6596.6895362062	-0.397073529015524	0.0629591341791226	-6.3068454513022	2.84779936460508e-10	5.56004225471474e-10
"cCluster_1514"	1232.86056374182	0.787452549474967	0.124869784160626	6.30618972210306	2.85988443518937e-10	5.58309143793078e-10
"cCluster_36758"	544.431929023175	3.27469992177573	0.519373316835493	6.30509850164859	2.88010670413979e-10	5.6220200737997e-10
"cCluster_32957"	611.763030686141	1.97896785884843	0.313915674673815	6.30413839928429	2.89801454747164e-10	5.65642374298866e-10
"cCluster_40945"	2992.24662805756	-1.35432487968614	0.214856582460349	-6.3033902158249	2.91204501467253e-10	5.68325346048694e-10
"cCluster_35447"	598.90631684698	1.23457971308033	0.19588868739488	6.30245538677596	2.92966883590626e-10	5.71709017167131e-10
"cCluster_576"	1723.08764848508	-0.991773292882043	0.157368818487588	-6.30222239966975	2.93407740309979e-10	5.72513393835286e-10
"cCluster_10073"	102.967526433169	10.0525398308644	1.59592129829287	6.29889446404247	2.99776000106743e-10	5.84882360044168e-10
"cCluster_29327"	277.836155852037	3.2985286673439	0.523700829350669	6.29849807844245	3.00543451275523e-10	5.86322437662718e-10
"cCluster_9422"	218.788969035565	11.1400966801264	1.76915209755708	6.29685638420189	3.0374245156985e-10	5.9250541700271e-10
"cCluster_13393"	1744.87354950129	0.758479522372895	0.120463630997593	6.29633621443848	3.0476297165946e-10	5.9443807820503e-10
"cCluster_9539"	1022.52845897768	1.07881601850015	0.171378693601181	6.29492497480866	3.07548573321259e-10	5.9981280532046e-10
"cCluster_17366"	122.719936069847	3.44437080638284	0.547225501110541	6.29424396230224	3.08901680831325e-10	6.02392958567385e-10
"cCluster_35475"	5380.71891259764	0.499701450930824	0.0793911863955507	6.29416782413556	3.09053320977238e-10	6.02629840542788e-10
"cCluster_19423"	1001.79819151328	-0.900941779328588	0.143142944918291	-6.29400058691584	3.09386653253148e-10	6.03220927157797e-10
"cCluster_41589"	12304.7794756387	-0.851760480171978	0.135344380750891	-6.29328292350527	3.10821068731468e-10	6.05958505554467e-10
"cCluster_37641"	274.188728346161	2.59013380464911	0.411589749402272	6.29299881352879	3.11390720375375e-10	6.07009821362167e-10
"cCluster_37876"	482.585667352067	3.33990930330743	0.530779639221162	6.29245934943593	3.12475173961681e-10	6.09064363767035e-10
"cCluster_35666"	14589.2421343459	-0.394903182256107	0.0627933214888375	-6.2889360348028	3.19649134744124e-10	6.22986775930713e-10
"cCluster_28056"	522.981755729967	1.12354386739444	0.178657199676316	6.28882502037437	3.19877769445114e-10	6.23371555577185e-10
"cCluster_2212"	1702.25497561166	0.741309685063095	0.117885164197619	6.28840524682468	3.20743739229137e-10	6.24937201629148e-10
"cCluster_6298"	90.0613582839146	9.8599164436986	1.56795061598184	6.28841007057125	3.20733775115856e-10	6.24937201629148e-10
"cCluster_11844"	4065.16267867631	-0.482660461750416	0.0767603620246413	-6.28788672981342	3.21816571879873e-10	6.26966353584363e-10
"cCluster_14259"	848.079366484831	-1.43826828749722	0.228792608524674	-6.28634070292577	3.25036204377383e-10	6.33177119410788e-10
"cCluster_3041"	303.894477974423	1.86931420320726	0.297392383256559	6.28568285017109	3.26415715257376e-10	6.35802429279969e-10
"cCluster_27936"	3386.04028911384	-0.76621762668848	0.121911489703248	-6.2850321044684	3.27785946500365e-10	6.3840915379727e-10
"cCluster_12176"	140.970872023374	10.5070082908853	1.67178564263533	6.28490161832141	3.28061377558637e-10	6.38883300841744e-10
"cCluster_19016"	453.696937818253	1.65549741026424	0.263410880290245	6.28484825091543	3.2817409094599e-10	6.39040501720232e-10
"cCluster_22821"	1481.17650949115	1.96044588674292	0.312021766819349	6.28304206699131	3.32011174649944e-10	6.46449284884748e-10
"cCluster_34992"	361.851951820982	1.53618258051118	0.244666854052502	6.27867058846286	3.41480221778057e-10	6.64821386941199e-10
"cCluster_37463"	5471.11901201556	-1.0926437566275	0.174052479969607	-6.27766841827416	3.43687892025104e-10	6.69054248435966e-10
"cCluster_12663"	1105.53010650352	1.06049684616493	0.168932643181503	6.2776312866041	3.43769956145488e-10	6.69148789125524e-10
"cCluster_24703"	892.687076823949	2.02173232447037	0.322075004340118	6.27720964752475	3.44703157129423e-10	6.70899889278011e-10
"cCluster_17287"	163.424227655966	10.7201573236577	1.70793208209048	6.27668830398478	3.45860451253152e-10	6.73086760890657e-10
"cCluster_23218"	294.901149135896	3.57714994613616	0.57002777443358	6.27539587819324	3.48745800366932e-10	6.78635885273207e-10
"cCluster_42064"	1097.53505587694	1.01886130973699	0.162401302010754	6.2737262393963	3.52508091119694e-10	6.85890231844525e-10
"cCluster_13592"	2699.64762012879	0.894415545531435	0.142568134745266	6.27360066910839	3.52792642434506e-10	6.86377036391278e-10
"cCluster_26261"	1832.11480338943	0.882012452889774	0.140591899908528	6.27356521580281	3.52873022766008e-10	6.8646655918884e-10
"cCluster_28248"	1298.98658271172	0.728113837007246	0.116064331253953	6.2733643414884	3.53328786156958e-10	6.87286250217669e-10
"cCluster_14041"	603.447604298531	-2.10971028655595	0.336361268031665	-6.27215582490117	3.56082941854611e-10	6.92576121085283e-10
"cCluster_23720"	2082.68727457528	0.816546796061541	0.130189280101347	6.27199716770759	3.56446067387902e-10	6.93214895927694e-10
"cCluster_29280"	560.369940221372	1.07968482726609	0.172172514249354	6.27094767113876	3.58857217070814e-10	6.97836147876705e-10
"cCluster_14288"	12152.9199257135	0.445017905941457	0.0709772888816892	6.26986340212641	3.61364976264764e-10	7.02644349351568e-10
"cCluster_5588"	291.624329922693	5.81311140892053	0.927308794764118	6.26879788237016	3.63846035697427e-10	7.07399704404916e-10
"cCluster_39291"	1088.33081444696	0.772415832760679	0.123225550800373	6.2683090296103	3.64989885634995e-10	7.09554546526425e-10
"cCluster_12074"	1075.97108056064	1.2270494133743	0.195771510867078	6.26776290349733	3.66271899492005e-10	7.11977539154612e-10
"cCluster_2262"	2097.22448081543	0.570132539548532	0.0909747510849802	6.26693156891374	3.682318749653e-10	7.15717787528643e-10
"cCluster_33021"	568.474778085946	-1.7213512710131	0.27467676203389	-6.2668252613256	3.68483245638235e-10	7.16136683364832e-10
"cCluster_26162"	450.618919952114	-4.29850901504754	0.685919574646595	-6.2667828327574	3.68583617300489e-10	7.16262063972883e-10
"cCluster_40961"	3282.83699998568	-0.724776782906799	0.115691747152472	-6.2647232905179	3.73488024727805e-10	7.25722110305244e-10
"cCluster_32037"	4749.60752902563	0.70381759723799	0.112358404486988	6.26404050904351	3.7512795629514e-10	7.28837751871941e-10
"cCluster_15231"	798.803765751679	0.940224804642143	0.150108287143167	6.26364355050829	3.7608461632085e-10	7.30625385237209e-10
"cCluster_15197"	95.5318367994987	9.94448292900595	1.58858363047364	6.25996814913735	3.85056109123634e-10	7.47981695978273e-10
"cCluster_25548"	394.916211338606	1.52546269129668	0.243736254320514	6.25866141887408	3.88295853572321e-10	7.54201640908899e-10
"cCluster_25133"	4241.61271438031	-1.36003446038747	0.217330289802576	-6.25791490741091	3.90158588311558e-10	7.57746018621622e-10
"cCluster_13047"	784.639076748092	5.02232682843931	0.802646347558485	6.25721009472775	3.91925278485089e-10	7.61103192469342e-10
"cCluster_11952"	1758.35459752488	0.97031314464194	0.155077059915714	6.25697408223572	3.92518613154807e-10	7.62181325728324e-10
"cCluster_14689"	9517.54157497407	-0.439986101027561	0.070327301716811	-6.25626307688109	3.94311383217364e-10	7.65588052076872e-10
"cCluster_24943"	13224.9113953403	-0.781284907999091	0.124898740250262	-6.25534658262859	3.96634080894686e-10	7.70022914362071e-10
"cCluster_35361"	8905.48555680472	-0.312370680334619	0.0499417288114848	-6.25470298622873	3.98273142945141e-10	7.73129837738502e-10
"cCluster_8409"	219.71142285037	11.1461744574617	1.78208355901069	6.25457454062894	3.98601048933608e-10	7.73691181852961e-10
"cCluster_17534"	388.01145603554	1.51840864169547	0.242846777737397	6.2525377352851	4.03836125439551e-10	7.83776389978142e-10
"cCluster_18887"	879.505409623233	2.25145558489878	0.360137229170017	6.25166020765905	4.06112213235991e-10	7.88117308791307e-10
"cCluster_11713"	208.640025185823	2.63555915427175	0.421626327960489	6.25093591052675	4.08000288700955e-10	7.91704465397472e-10
"cCluster_6422"	443.770534171718	2.20970529719062	0.353559503248038	6.24988234481258	4.10761997015004e-10	7.96986001979087e-10
"cCluster_99"	407.216251754939	4.33963322792537	0.694429771593785	6.24920388704748	4.12550086255282e-10	8.00377619750316e-10
"cCluster_18094"	137.97051787241	10.4747028972773	1.67640020617746	6.24833071403741	4.14862536653628e-10	8.04785779319822e-10
"cCluster_32711"	1918.58593819076	-0.844573537612221	0.135173687896999	-6.24806166608237	4.15577610929407e-10	8.06094657051359e-10
"cCluster_1079"	190.60941591446	3.37183689268932	0.539764517358982	6.24686652095512	4.18768630790034e-10	8.12205398585389e-10
"cCluster_43156"	1429.37982716059	-1.19401869362622	0.191194747358305	-6.24503920805203	4.23693820082035e-10	8.21678063702781e-10
"cCluster_26117"	3633.65510645585	1.07236207027859	0.171730327518737	6.24445364876854	4.25284017548502e-10	8.24681899867131e-10
"cCluster_16296"	2297.9154478337	-0.587068462701809	0.0940232526313673	-6.24386464275493	4.26889452036745e-10	8.27714696605899e-10
"cCluster_2160"	328.0958281607	1.65478902386611	0.26507908451232	6.24262388302162	4.30290730357063e-10	8.34228607093307e-10
"cCluster_35274"	108.610274923444	10.1308368057266	1.6228829708825	6.24249375185546	4.30648986111352e-10	8.34842148444706e-10
"cCluster_7250"	586.993304682668	-1.34893171214169	0.216139095376161	-6.24103524535465	4.34684278605418e-10	8.42583063090074e-10
"cCluster_26121"	396.293922347718	1.57406937065514	0.252268082002954	6.23966915733997	4.38497334072722e-10	8.49891737638523e-10
"cCluster_34171"	3247.68619076554	1.07807073152915	0.17278541230285	6.23936197599572	4.39359230966874e-10	8.51479638940846e-10
